Station ID,Station Name,Data Source,Latitude (deg),Longitude (deg),Observation ID,Observation Date,Day of Year (day),Month (month),City,State/Province,County,Number,Amphibian Common Names,Life Stage,Malformation Type,Side of Body,Malformation Location,Malformation Description,Station Address,Photos,Media,Documents
1755136,"Dekalb, IL behind fire station on Glidden Rd",Malformation Nation Observations,41.953092,-88.773425,8746693,1998-07-07,Jul-07,July,Dekalb,Illinois,De Kalb,11,Northern Leopard Frog,Don't know,,,NA,,, , , 
1755136,"Dekalb, IL behind fire station on Glidden Rd",Malformation Nation Observations,41.953092,-88.773425,8746692,1998-07-07,Jul-07,July,Dekalb,Illinois,De Kalb,1,American Toad (Subspecies - Eastern),Don't know,,,NA,,, , , 
1755137,"Delavan, WI down hill of Kendall Ct",Malformation Nation Observations,42.626850,-88.685536,8746689,1998-07-11,Jul-11,July,Delavan,Wisconsin,Walworth,1,Northern Leopard Frog,Don't know,,,NA,,, , , 
1755137,"Delavan, WI down hill of Kendall Ct",Malformation Nation Observations,42.626850,-88.685536,8746691,1995-12-31,Dec-31,December,Delavan,Wisconsin,Walworth,,Green Frog (Subspecies - Northern),Don't know,Abnormal Not Specified,,NA,Missing eye,, , , 
1755137,"Delavan, WI down hill of Kendall Ct",Malformation Nation Observations,42.626850,-88.685536,8746688,1998-07-11,Jul-11,July,Delavan,Wisconsin,Walworth,3,Gray Treefrog,Don't know,,,NA,,, , , 
1755137,"Delavan, WI down hill of Kendall Ct",Malformation Nation Observations,42.626850,-88.685536,8746690,1995-12-31,Dec-31,December,Delavan,Wisconsin,Walworth,,Green Frog (Subspecies - Northern),Don't know,Abnormal Not Specified,,NA,Missing limb,, , , 
1755138,"Delavan, WI N5578 Johnson Rd",Malformation Nation Observations,42.689893,-88.711991,8746687,1998-07-11,Jul-11,July,Delavan,Wisconsin,Walworth,1,Northern Leopard Frog,Don't know,,,NA,,, , , 
1755139,"Dement Pond, OR",Malformation Nation Observations,43.137166,-124.194603,8746681,1999-07-06,Jul-06,July,,Oregon,Coos,,Long-toed Salamander,Don't know,Abnormal Not Specified,,NA,"Only larvae: incomplete fore & hind limbs, MFL, MDH",, , , 
1755139,"Dement Pond, OR",Malformation Nation Observations,43.137166,-124.194603,8746685,1999-07-06,Jul-06,July,,Oregon,Coos,,Long-toed Salamander,Don't know,Abnormal Not Specified,,NA,"Only larvae: incomplete fore & hind limbs, MFL, MDH",, , , 
1755139,"Dement Pond, OR",Malformation Nation Observations,43.137166,-124.194603,8746683,1999-07-06,Jul-06,July,,Oregon,Coos,,Long-toed Salamander,Don't know,Abnormal Not Specified,,NA,"Only larvae: incomplete fore & hind limbs, MFL, MDH",, , , 
1755139,"Dement Pond, OR",Malformation Nation Observations,43.137166,-124.194603,8746682,1999-07-06,Jul-06,July,,Oregon,Coos,,Long-toed Salamander,Don't know,Abnormal Not Specified,,NA,"Only larvae: incomplete fore & hind limbs, MFL, MDH",, , , 
1755139,"Dement Pond, OR",Malformation Nation Observations,43.137166,-124.194603,8746680,1999-07-06,Jul-06,July,,Oregon,Coos,2,Long-toed Salamander,Don't know,,,NA,,, , , 
1755139,"Dement Pond, OR",Malformation Nation Observations,43.137166,-124.194603,8746684,1999-07-06,Jul-06,July,,Oregon,Coos,,Long-toed Salamander,Don't know,Abnormal Not Specified,,NA,"Only larvae: incomplete fore & hind limbs, MFL, MDH",, , , 
1755139,"Dement Pond, OR",Malformation Nation Observations,43.137166,-124.194603,8746686,1999-07-06,Jul-06,July,,Oregon,Coos,,Long-toed Salamander,Don't know,Abnormal Not Specified,,NA,"Only larvae: incomplete fore & hind limbs, MFL, MDH",, , , 
1755140,"Deschutes National Forest, Tail Biter Pond",Malformation Nation Observations,43.806100,-121.492780,8746675,1999-07-09,Jul-09,July,,Oregon,Deschutes,,Pacific Treefrog Complex,Don't know,Abnormal Not Specified,,NA,"Only larvae or newly metamorphosed: MDF, MDH, incomplete hind limb(s), MHL",, , , 
1755140,"Deschutes National Forest, Tail Biter Pond",Malformation Nation Observations,43.806100,-121.492780,8746677,1999-07-09,Jul-09,July,,Oregon,Deschutes,,Pacific Treefrog Complex,Don't know,Abnormal Not Specified,,NA,"Only larvae or newly metamorphosed: MDF, MDH, incomplete hind limb(s), MHL",, , , 
1755140,"Deschutes National Forest, Tail Biter Pond",Malformation Nation Observations,43.806100,-121.492780,8746673,1999-07-09,Jul-09,July,,Oregon,Deschutes,70,Pacific Treefrog Complex,Don't know,,,NA,,, , , 
